# Data exported from The Sideline - https://thesideline.co
# Exported: 2026-09-20T01:22:20.659Z

"Rank","School","Conference","Tier","Men's Basketball NIL Estimate ($M)"
1,"Kentucky","SEC","Power 4",15.8
2,"Indiana","Big Ten","Power 4",14.1
3,"Duke","ACC","Power 4",14.1
4,"Louisville","ACC","Power 4",13.9
5,"Florida","SEC","Power 4",13.6
6,"Miami (FL)","ACC","Power 4",13.5
7,"Texas","SEC","Power 4",12.5
8,"Tennessee","SEC","Power 4",12.1
9,"Gonzaga","Pac-12","G5",12.1
10,"Seton Hall","Big East","Basketball",11.5
11,"St. John's","Big East","Basketball",11.4
12,"Texas Tech","Big 12","Power 4",11.3
13,"Michigan","Big Ten","Power 4",11
14,"North Carolina","ACC","Power 4",10.6
15,"Xavier","Big East","Basketball",10.4
16,"USC","Big Ten","Power 4",10.1
17,"Purdue","Big Ten","Power 4",9.85
18,"Arizona","Big 12","Power 4",9.7
19,"Saint Mary's","West Coast","Lower-Tier",9.35
20,"UCLA","Big Ten","Power 4",9.2
21,"Memphis","American","G5",9.2
22,"DePaul","Big East","Basketball",9
23,"NC State","ACC","Power 4",8.6
24,"Kansas","Big 12","Power 4",8.6
25,"Marquette","Big East","Basketball",8.6
26,"Texas A&M","SEC","Power 4",8.5
27,"Ole Miss","SEC","Power 4",8.5
28,"Creighton","Big East","Basketball",8.5
29,"Illinois","Big Ten","Power 4",8.4
30,"Kansas State","Big 12","Power 4",8.2
31,"UConn","Big East","Basketball",8.2
32,"Ohio State","Big Ten","Power 4",8.1
33,"Oklahoma","SEC","Power 4",8.1
34,"Syracuse","ACC","Power 4",8.05
35,"West Virginia","Big 12","Power 4",7.8
36,"Virginia","ACC","Power 4",7.65
37,"Oregon","Big Ten","Power 4",7.6
38,"Villanova","Big East","Basketball",7.6
39,"Providence","Big East","Basketball",7.6
40,"Alabama","SEC","Power 4",7.4
41,"Maryland","Big Ten","Power 4",7.4
42,"Saint Louis","Atlantic 10","Basketball",7.25
43,"Arkansas","SEC","Power 4",7.2
44,"Michigan State","Big Ten","Power 4",7.2
45,"Missouri","SEC","Power 4",7.1
46,"George Washington","Atlantic 10","Basketball",7.05
47,"Houston","Big 12","Power 4",7
48,"Florida State","ACC","Power 4",6.95
49,"BYU","Big 12","Power 4",6.9
50,"LSU","SEC","Power 4",6.85
51,"Notre Dame","ACC","Power 4",6.7
52,"Oklahoma State","Big 12","Power 4",6.7
53,"Davidson","Atlantic 10","Basketball",6.5
54,"George Mason","Atlantic 10","Basketball",6.3
55,"Wake Forest","ACC","Power 4",6.25
56,"Iowa State","Big 12","Power 4",6.2
57,"Baylor","Big 12","Power 4",6
58,"San Francisco","West Coast","Lower-Tier",5.9
59,"Georgia","SEC","Power 4",5.8
60,"UCF","Big 12","Power 4",5.8
61,"TCU","Big 12","Power 4",5.75
62,"Pittsburgh","ACC","Power 4",5.75
63,"Cincinnati","Big 12","Power 4",5.75
64,"Washington","Big Ten","Power 4",5.7
65,"Minnesota","Big Ten","Power 4",5.7
66,"South Florida","American","G5",5.55
67,"Virginia Tech","ACC","Power 4",5.5
68,"Colorado","Big 12","Power 4",5.5
69,"Arizona State","Big 12","Power 4",5.3
70,"Georgia Tech","ACC","Power 4",5.25
71,"Utah","Big 12","Power 4",5.25
72,"Boston College","ACC","Power 4",5.25
73,"Vanderbilt","SEC","Power 4",5.2
74,"Stanford","ACC","Power 4",5.2
75,"Auburn","SEC","Power 4",5
76,"Saint Joseph's","Atlantic 10","Basketball",5
77,"Wisconsin","Big Ten","Power 4",4.95
78,"Northwestern","Big Ten","Power 4",4.95
79,"Rutgers","Big Ten","Power 4",4.95
80,"Mississippi State","SEC","Power 4",4.9
81,"Iowa","Big Ten","Power 4",4.9
82,"Massachusetts","MAC","G5",4.85
83,"Richmond","Atlantic 10","Basketball",4.85
84,"California","ACC","Power 4",4.75
85,"Rhode Island","Atlantic 10","Basketball",4.75
86,"Pepperdine","West Coast","Lower-Tier",4.75
87,"Fordham","Atlantic 10","Basketball",4.65
88,"Nebraska","Big Ten","Power 4",4.6
89,"Clemson","ACC","Power 4",4.5
90,"Drake","Missouri Valley","Basketball",4.45
91,"Loyola Chicago","Atlantic 10","Basketball",4.1
92,"Fresno State","Pac-12","G5",4
93,"San Diego State","Pac-12","G5",4
94,"Penn State","Big Ten","Power 4",3.95
95,"UNLV","Mountain West","G5",3.9
96,"Portland","West Coast","Lower-Tier",3.9
97,"Dayton","Atlantic 10","Basketball",3.85
98,"Bradley","Missouri Valley","Basketball",3.8
99,"Saint Bonaventure","Atlantic 10","Basketball",3.65
100,"Boise State","Pac-12","G5",3.5
101,"Santa Clara","West Coast","Lower-Tier",3.45
102,"SMU","ACC","Power 4",3.35
103,"Tulane","American","G5",3.35
104,"Georgetown","Big East","Basketball",3.35
105,"Oregon State","Pac-12","G5",3
106,"South Carolina","SEC","Power 4",2.95
107,"Wichita State","American","G5",2.85
108,"Missouri State","Conference USA","Lower-Tier",2.7
109,"James Madison","Sun Belt","G5",2.65
110,"Colorado State","Pac-12","G5",2.5
111,"Washington State","Pac-12","G5",2.5
112,"Duquesne","Atlantic 10","Basketball",2.4
113,"La Salle","Atlantic 10","Basketball",2.4
114,"VCU","Atlantic 10","Basketball",2.4
115,"Butler","Big East","Basketball",2.35
116,"Coppin State","MEAC","FCS",2.25
117,"Toledo","MAC","G5",2.2
118,"Florida Atlantic","Conference USA","Lower-Tier",2.2
119,"Cal State Northridge","Big West","Lower-Tier",2.15
120,"Loyola Marymount","West Coast","Lower-Tier",2.15
121,"Liberty","Conference USA","Lower-Tier",2.1
122,"East Carolina","American","G5",2.1
123,"Rice","American","G5",2.1
124,"Utah State","Pac-12","G5",2
125,"Grand Canyon","Mountain West","G5",2
126,"Northeastern","CAA","FCS",2
127,"Nevada","Mountain West","G5",1.95
128,"Ohio","MAC","G5",1.95
129,"New Mexico","Mountain West","G5",1.95
130,"Hawaii","Big West","Lower-Tier",1.95
131,"Hofstra","CAA","FCS",1.95
132,"UC San Diego","Big West","Lower-Tier",1.95
133,"Appalachian State","Sun Belt","G5",1.9
134,"North Texas","American","G5",1.9
135,"UTSA","American","G5",1.9
136,"Marshall","Sun Belt","G5",1.9
137,"Charlotte","American","G5",1.9
138,"Temple","American","G5",1.9
